NC_012036.1 Caldicelulosiruptor becscii DSM 6725 plasmid pATHE01, complete sequence
NC_012483.1 Acidobacterium capsulatum ATCC 51196, complete genome
NC_013926.1 Aciduliprofundum boonei T469, complete genome
NC_006462.1 Thermus thermophilus HB8 plasmid pTT27, complete sequence
NC_006463.1 Thermus thermophilus HB8 plasmid pTT8, complete sequence
NC_006461.1 Thermus thermophilus HB8 chromosome, complete genome
NC_000909.1 Methanocaldococcus jannaschii DSM 2661, complete genome
NC_001733.1 Methanocaldococcus jannaschii DSM 2661 plasmid pDSM2661_2, complete sequence
NC_001732.1 Methanocaldococcus jannaschii DSM 2661 plasmid pDSM2661_1, complete sequence
NZ_AALV01000015.1 Sulfitobacter sp. EE-36 1099451317983, whole genome shotgun sequence
NZ_CH959311.1 Sulfitobacter sp. EE-36 scf_1099451318005 genomic scaffold, whole genome shotgun sequence
NZ_AALV01000004.1 Sulfitobacter sp. EE-36 1099451317994, whole genome shotgun sequence
NZ_AALV01000007.1 Sulfitobacter sp. EE-36 1099451317995, whole genome shotgun sequence
NZ_CH959310.1 Sulfitobacter sp. EE-36 scf_1099451318008 genomic scaffold, whole genome shotgun sequence
NZ_CH959314.1 Sulfitobacter sp. NAS-14.1 scf_1099451320475 genomic scaffold, whole genome shotgun sequence
NZ_AALZ01000021.1 Sulfitobacter sp. NAS-14.1 1099451320444, whole genome shotgun sequence
NZ_AALZ01000011.1 Sulfitobacter sp. NAS-14.1 1099451320457, whole genome shotgun sequence
NZ_CH959313.1 Sulfitobacter sp. NAS-14.1 scf_1099451320476 genomic scaffold, whole genome shotgun sequence
NZ_AALZ01000007.1 Sulfitobacter sp. NAS-14.1 1099451320460, whole genome shotgun sequence
NZ_AALZ01000006.1 Sulfitobacter sp. NAS-14.1 1099451320454, whole genome shotgun sequence
NZ_CH959312.1 Sulfitobacter sp. NAS-14.1 scf_1099451320477 genomic scaffold, whole genome shotgun sequence
NZ_CH959317.1 Sulfitobacter sp. NAS-14.1 scf_1099451320472 genomic scaffold, whole genome shotgun sequence
NZ_CH959315.1 Sulfitobacter sp. NAS-14.1 scf_1099451320470 genomic scaffold, whole genome shotgun sequence
NZ_AALZ01000017.1 Sulfitobacter sp. NAS-14.1 1099451320455, whole genome shotgun sequence
NZ_CH959316.1 Sulfitobacter sp. NAS-14.1 scf_1099451320473 genomic scaffold, whole genome shotgun sequence
NZ_DS996362.1 Desulfovibrio piger ATCC 29098 Scfld11 genomic scaffold, whole genome shotgun sequence
NZ_DS996363.1 Desulfovibrio piger ATCC 29098 Scfld12 genomic scaffold, whole genome shotgun sequence
NZ_DS996394.1 Desulfovibrio piger ATCC 29098 Scfld434 genomic scaffold, whole genome shotgun sequence
NZ_DS996395.1 Desulfovibrio piger ATCC 29098 Scfld438 genomic scaffold, whole genome shotgun sequence
NZ_DS996372.1 Desulfovibrio piger ATCC 29098 Scfld399 genomic scaffold, whole genome shotgun sequence
NZ_DS996367.1 Desulfovibrio piger ATCC 29098 Scfld18 genomic scaffold, whole genome shotgun sequence
NZ_DS996385.1 Desulfovibrio piger ATCC 29098 Scfld423 genomic scaffold, whole genome shotgun sequence
NZ_DS996364.1 Desulfovibrio piger ATCC 29098 Scfld13 genomic scaffold, whole genome shotgun sequence
NZ_DS996365.1 Desulfovibrio piger ATCC 29098 Scfld14 genomic scaffold, whole genome shotgun sequence
NZ_DS996383.1 Desulfovibrio piger ATCC 29098 Scfld421 genomic scaffold, whole genome shotgun sequence
NZ_DS996351.1 Desulfovibrio piger ATCC 29098 Scfld0 genomic scaffold, whole genome shotgun sequence
NZ_DS996360.1 Desulfovibrio piger ATCC 29098 Scfld9 genomic scaffold, whole genome shotgun sequence
NZ_DS996393.1 Desulfovibrio piger ATCC 29098 Scfld433 genomic scaffold, whole genome shotgun sequence
NZ_DS996373.1 Desulfovibrio piger ATCC 29098 Scfld402 genomic scaffold, whole genome shotgun sequence
NZ_DS996354.1 Desulfovibrio piger ATCC 29098 Scfld3 genomic scaffold, whole genome shotgun sequence
NZ_DS996375.1 Desulfovibrio piger ATCC 29098 Scfld405 genomic scaffold, whole genome shotgun sequence
NZ_DS996356.1 Desulfovibrio piger ATCC 29098 Scfld5 genomic scaffold, whole genome shotgun sequence
NZ_DS996379.1 Desulfovibrio piger ATCC 29098 Scfld416 genomic scaffold, whole genome shotgun sequence
NZ_DS996374.1 Desulfovibrio piger ATCC 29098 Scfld403 genomic scaffold, whole genome shotgun sequence
NZ_DS996369.1 Desulfovibrio piger ATCC 29098 Scfld387 genomic scaffold, whole genome shotgun sequence
NZ_DS996396.1 Desulfovibrio piger ATCC 29098 Scfld439 genomic scaffold, whole genome shotgun sequence
NZ_DS996382.1 Desulfovibrio piger ATCC 29098 Scfld420 genomic scaffold, whole genome shotgun sequence
NZ_DS996391.1 Desulfovibrio piger ATCC 29098 Scfld430 genomic scaffold, whole genome shotgun sequence
NZ_DS996370.1 Desulfovibrio piger ATCC 29098 Scfld390 genomic scaffold, whole genome shotgun sequence
NZ_DS996397.1 Desulfovibrio piger ATCC 29098 Scfld442 genomic scaffold, whole genome shotgun sequence
NZ_DS996355.1 Desulfovibrio piger ATCC 29098 Scfld4 genomic scaffold, whole genome shotgun sequence
NZ_DS996380.1 Desulfovibrio piger ATCC 29098 Scfld418 genomic scaffold, whole genome shotgun sequence
NZ_DS996381.1 Desulfovibrio piger ATCC 29098 Scfld419 genomic scaffold, whole genome shotgun sequence
NZ_DS996361.1 Desulfovibrio piger ATCC 29098 Scfld10 genomic scaffold, whole genome shotgun sequence
NZ_DS996378.1 Desulfovibrio piger ATCC 29098 Scfld415 genomic scaffold, whole genome shotgun sequence
NZ_DS996353.1 Desulfovibrio piger ATCC 29098 Scfld2 genomic scaffold, whole genome shotgun sequence
NZ_DS996371.1 Desulfovibrio piger ATCC 29098 Scfld391 genomic scaffold, whole genome shotgun sequence
NZ_DS996377.1 Desulfovibrio piger ATCC 29098 Scfld412 genomic scaffold, whole genome shotgun sequence
NZ_DS996368.1 Desulfovibrio piger ATCC 29098 Scfld201 genomic scaffold, whole genome shotgun sequence
NZ_DS996358.1 Desulfovibrio piger ATCC 29098 Scfld7 genomic scaffold, whole genome shotgun sequence
NZ_DS996357.1 Desulfovibrio piger ATCC 29098 Scfld6 genomic scaffold, whole genome shotgun sequence
NZ_DS996366.1 Desulfovibrio piger ATCC 29098 Scfld15 genomic scaffold, whole genome shotgun sequence
NZ_DS996386.1 Desulfovibrio piger ATCC 29098 Scfld424 genomic scaffold, whole genome shotgun sequence
NZ_DS996359.1 Desulfovibrio piger ATCC 29098 Scfld8 genomic scaffold, whole genome shotgun sequence
NZ_DS996392.1 Desulfovibrio piger ATCC 29098 Scfld432 genomic scaffold, whole genome shotgun sequence
NZ_DS996388.1 Desulfovibrio piger ATCC 29098 Scfld426 genomic scaffold, whole genome shotgun sequence
NZ_DS996384.1 Desulfovibrio piger ATCC 29098 Scfld422 genomic scaffold, whole genome shotgun sequence
NZ_DS996376.1 Desulfovibrio piger ATCC 29098 Scfld411 genomic scaffold, whole genome shotgun sequence
NZ_DS996387.1 Desulfovibrio piger ATCC 29098 Scfld425 genomic scaffold, whole genome shotgun sequence
NZ_DS996390.1 Desulfovibrio piger ATCC 29098 Scfld429 genomic scaffold, whole genome shotgun sequence
NZ_DS996352.1 Desulfovibrio piger ATCC 29098 Scfld1 genomic scaffold, whole genome shotgun sequence
NZ_DS996389.1 Desulfovibrio piger ATCC 29098 Scfld427 genomic scaffold, whole genome shotgun sequence
NZ_ABZS01000015.1 Sulfurihydrogenibium yellowstonense SS-5 gcontig_156, whole genome shotgun sequence
NZ_ABZS01000129.1 Sulfurihydrogenibium yellowstonense SS-5 gcontig_188, whole genome shotgun sequence
NZ_ABZS01000118.1 Sulfurihydrogenibium yellowstonense SS-5 gcontig_132, whole genome shotgun sequence
NZ_ABZS01000025.1 Sulfurihydrogenibium yellowstonense SS-5 gcontig_138, whole genome shotgun sequence
NZ_ABZS01000192.1 Sulfurihydrogenibium yellowstonense SS-5 gcontig_89, whole genome shotgun sequence
NZ_ABZS01000158.1 Sulfurihydrogenibium yellowstonense SS-5 gcontig_198, whole genome shotgun sequence
NZ_ABZS01000106.1 Sulfurihydrogenibium yellowstonense SS-5 gcontig_21, whole genome shotgun sequence
NZ_ABZS01000133.1 Sulfurihydrogenibium yellowstonense SS-5 gcontig_4, whole genome shotgun sequence
NZ_ABZS01000134.1 Sulfurihydrogenibium yellowstonense SS-5 gcontig_65, whole genome shotgun sequence
NZ_ABZS01000132.1 Sulfurihydrogenibium yellowstonense SS-5 gcontig_52, whole genome shotgun sequence
NZ_ABZS01000067.1 Sulfurihydrogenibium yellowstonense SS-5 gcontig_118, whole genome shotgun sequence
NZ_ABZS01000155.1 Sulfurihydrogenibium yellowstonense SS-5 gcontig_142, whole genome shotgun sequence
NZ_ABZS01000042.1 Sulfurihydrogenibium yellowstonense SS-5 gcontig_141, whole genome shotgun sequence
NZ_ABZS01000014.1 Sulfurihydrogenibium yellowstonense SS-5 gcontig_32, whole genome shotgun sequence
NZ_ABZS01000126.1 Sulfurihydrogenibium yellowstonense SS-5 gcontig_51, whole genome shotgun sequence
NZ_ABZS01000140.1 Sulfurihydrogenibium yellowstonense SS-5 gcontig_129, whole genome shotgun sequence
NZ_ABZS01000081.1 Sulfurihydrogenibium yellowstonense SS-5 gcontig_56, whole genome shotgun sequence
NZ_ABZS01000114.1 Sulfurihydrogenibium yellowstonense SS-5 gcontig_177, whole genome shotgun sequence
NZ_ABZS01000077.1 Sulfurihydrogenibium yellowstonense SS-5 gcontig_131, whole genome shotgun sequence
NZ_ABZS01000153.1 Sulfurihydrogenibium yellowstonense SS-5 gcontig_154, whole genome shotgun sequence
NZ_ABZS01000098.1 Sulfurihydrogenibium yellowstonense SS-5 gcontig_103, whole genome shotgun sequence
NZ_ABZS01000201.1 Sulfurihydrogenibium yellowstonense SS-5 gcontig_178, whole genome shotgun sequence
NZ_ABZS01000049.1 Sulfurihydrogenibium yellowstonense SS-5 gcontig_211, whole genome shotgun sequence
NZ_ABZS01000172.1 Sulfurihydrogenibium yellowstonense SS-5 gcontig_165, whole genome shotgun sequence
NZ_ABZS01000027.1 Sulfurihydrogenibium yellowstonense SS-5 gcontig_210, whole genome shotgun sequence
NZ_ABZS01000149.1 Sulfurihydrogenibium yellowstonense SS-5 gcontig_41, whole genome shotgun sequence
NZ_ABZS01000113.1 Sulfurihydrogenibium yellowstonense SS-5 gcontig_143, whole genome shotgun sequence
NZ_ABZS01000092.1 Sulfurihydrogenibium yellowstonense SS-5 gcontig_180, whole genome shotgun sequence
NZ_ABZS01000008.1 Sulfurihydrogenibium yellowstonense SS-5 gcontig_185, whole genome shotgun sequence
NZ_ABZS01000215.1 Sulfurihydrogenibium yellowstonense SS-5 gcontig_82, whole genome shotgun sequence
NZ_ABZS01000060.1 Sulfurihydrogenibium yellowstonense SS-5 gcontig_134, whole genome shotgun sequence
NZ_ABZS01000224.1 Sulfurihydrogenibium yellowstonense SS-5 gcontig_84, whole genome shotgun sequence
NZ_ABZS01000170.1 Sulfurihydrogenibium yellowstonense SS-5 gcontig_149, whole genome shotgun sequence
NZ_ABZS01000186.1 Sulfurihydrogenibium yellowstonense SS-5 gcontig_81, whole genome shotgun sequence
NZ_ABZS01000052.1 Sulfurihydrogenibium yellowstonense SS-5 gcontig_72, whole genome shotgun sequence
NZ_ABZS01000156.1 Sulfurihydrogenibium yellowstonense SS-5 gcontig_105, whole genome shotgun sequence
NZ_ABZS01000087.1 Sulfurihydrogenibium yellowstonense SS-5 gcontig_117, whole genome shotgun sequence
NZ_ABZS01000228.1 Sulfurihydrogenibium yellowstonense SS-5 gcontig_18, whole genome shotgun sequence
NZ_ABZS01000091.1 Sulfurihydrogenibium yellowstonense SS-5 gcontig_195, whole genome shotgun sequence
NZ_ABZS01000178.1 Sulfurihydrogenibium yellowstonense SS-5 gcontig_73, whole genome shotgun sequence
NZ_ABZS01000127.1 Sulfurihydrogenibium yellowstonense SS-5 gcontig_53, whole genome shotgun sequence
NZ_ABZS01000030.1 Sulfurihydrogenibium yellowstonense SS-5 gcontig_37, whole genome shotgun sequence
NZ_ABZS01000051.1 Sulfurihydrogenibium yellowstonense SS-5 gcontig_196, whole genome shotgun sequence
NZ_ABZS01000222.1 Sulfurihydrogenibium yellowstonense SS-5 gcontig_203, whole genome shotgun sequence
NZ_ABZS01000056.1 Sulfurihydrogenibium yellowstonense SS-5 gcontig_94, whole genome shotgun sequence
NZ_ABZS01000108.1 Sulfurihydrogenibium yellowstonense SS-5 gcontig_172, whole genome shotgun sequence
NZ_ABZS01000130.1 Sulfurihydrogenibium yellowstonense SS-5 gcontig_147, whole genome shotgun sequence
